岗位描述,技术栈
"-职责描述：-负责大数据平台技术框架的选型与技术难点攻关-负责规划数据挖掘的整体流程，负责大数据开发团队业务需求开发-与业务部门密切配合，寻求数据层面的业务价值，利用数据分析结论推动产品优化- 负责新技术的调研，并能在团队内进行推广应用- 负责公司大数据底层框架的整体架构设计，结合公司实际业务情况进行技术选型及大数据战略规划；--任职要求：-计算机、数学相关专业，本科以上学历；5年以上开发经验，其中3年以上大数据架构或相关工作经验；有大型零售大数据、电商平台系统设计和架构经验hadoop平台开发经验-熟悉Hadoop生态圈其他系统，包括Hive，Pig，HBase，Spark，Kafka，Oozie，Sqoop，Flume，ZooKeeper, Strom,FLink,并了解其原理-具备大型复杂Hadoop数据平台的建设实施经验-精通Java及Python,有架构设计能力和良好的编码习惯-能够承受一定工作压力，有团队合作精神","技术栈:

1. Hadoop
2. Hive
3. Pig
4. HBase
5. Spark
6. Kafka
7. Oozie
8. Sqoop
9. Flume
10. ZooKeeper
11. Strom
12. FLink
13. Java
14. Python"
【招聘岗位1】：大数据架构师岗位职责：1、负责大数据平台相关技术工作，包括需求分析、架构设计、研发、以及性能调优等工作；2、负责设计、构建和优化基于Hadoop/HBase/Spark等平台架构；3、负责整体提升大集群的高可靠、高性能、高扩展性；4、针对建模的业务需求，开发设计面向海量数据的高可扩展/高并发/高效的统计分析算法；5、基于海量数据，开发设计高可扩展的机器学习算法，挖掘用户社会关系及行为特征；6、 提升数据团队数据价值挖掘能力以及影响力；岗位要求：1、精通Java/Scala/Shell/C/C++一种以上编程语言2、大数据相关经验优先，包含但不限于Hadoop/Spark/HBase/Solr/Hive等开源大数据技术3、数据挖掘、机器学习、人工智能等工作地：西安、深圳、北京【招聘岗位2，：数据库工程师岗位职责：1、进行云数据库的规划、设计、实施，设计，开发并优化数据库物理建设方案；2、负责云数据库的定期维护和异常处理；3、配合其他部门进行的云数据处理、查询，统计和分析工作。岗位要求1) 至少熟悉一个数据库（oracle、db2，mysql等的运维操作2) 至少阅读过一个数据库内核的代码，并开发或增量开发过至少一个模块的代码3) 至少熟悉C或C++或Java中的一个语言4) 熟悉数据库内部优先【招聘岗位4】：算法工程师岗位要求1、精通Java /Scala/Shell/C/C++一种以上编程语言2、有大数据技术相关经验者优先，包括但不限于Hadoop/Hive/Spark/HBase/Solr3、熟悉数据库领域基本理论，有数据仓库开发经验优先4、有数据挖掘、机器学习、人工智能经验者优先岗位要求1、掌握软件测试的基本方法2、有性能、可靠性测试经验者优先3、有分布式系统或大数据软件经验优先【招聘岗位5】：售前工程师岗位职责：1. 了解业界主流大数据产品，配合销售团队进行产品宣讲和解决方案展示；2. 根据客户的数据特征，提供丰富的数据价值发现手段和业务创新；3. 为客户提供大数据解决方案，满足客户需求，主导项目的技术方案部分，完成项目投标等工作；4. 理解目标市场，搜集市场信息，分析需求和行业趋势，参与产品策略的制定；5. 负责与合作伙伴公司合作相关工作；6. 协同团队达成收入及其它长期目标；职位要求：1. 本科学历要求至少3年及以上售前咨询顾问经验，研究生及以上学历要求2年及以上相关经验；2. 了解主流的数据库、BI、数据仓库、数据挖掘产品；3. 具有出色的表达沟通能力和售前讲解能力。思维敏捷，有较好的写作能力；4. 具备较强的不断学习能力；5. 有分布式计算构架、Hadoop、NoSQL的相关设计经验，部署和管理等经验优先；6. 对数据挖掘算法熟悉并有实践经验的优先；7. 熟悉银行行业IT信息化系统,"技术栈：

1. Java
2. Scala
3. Shell
4. C
5. C++
6. Hadoop
7. Spark
8. HBase
9. Solr
10. Hive
11. Oracle
12. DB2
13. MySQL
14. 数据挖掘算法
15. 机器学习
16. 人工智能
17. NoSQL
18. BI
19. 数据仓库"
搭建数据湖的数据中台，使用Kappa架构,"技术栈: 

1. Apache Hive 或者 Amazon S3（数据湖）
2. Apache NiFi 或者 Apache Beam（数据中台）
3. Apache Kafka 或者 Apache Flink（Kappa架构）"
岗位要求1、计算机，电子信息或相关专业硕士及以上学历；2、在互联网公司有过3年以上的大规模分布式计算架构设计经验；3、良好的逻辑思维能力，善于发现和推理，能快速掌握开源中间件内核原理，并解决业务问题；4、需要候选人有大规模Trino或Doris系统的源码优化经验，培养方向为大数据即席查询引擎专家。岗位职责1、熟悉一种OLAP引擎（如trino、doris）源码，并进行持续迭代优化以保障服务的稳定性；2、对OLAP引擎进行参数优化和稳定性增强；3、开发OLAP引擎异常任务治理功能并进行平台化；4、对OLAP进行功能增强，以支持联邦查询等多种业务场景，并与底层存储结合进行优化。,"技术栈: 

1. 分布式计算架构
2. Trino
3. Doris
4. 大数据即席查询引擎"
需要根据社保年限评级1. 精通Python，熟练掌握相关开发技术，熟悉Linux平台。2.有python后端开发能力和经验，想转数据挖掘，有金融行业项目经验3. 熟练使用数据库，掌握Oracle、MySQL、Mongodb等数据库。4. 对云计算和大数据等技术方向感兴趣，有银行业相关经验更佳。5. 拥有良好的沟通能力和团队合作精神6、 了解H5、JS、CSS等前端技术，了解Ajax+JSON前后端交互技术。学历要求：学信统本，硕士优先工作地点：目前在石景山，后面去西二旗,"技术栈:

1. Python
2. Linux
3. Oracle
4. MySQL
5. Mongodb
6. H5
7. JS
8. CSS
9. Ajax
10. JSON"
岗位职责：1. 面向公司未来不断增长的大数据业务需求和越来越多样化的大数据应用场景，设计和实现高性能、低成本、可扩展、易维护的大数据存储和计算系统（包括但不限于：HDFS、HBase、YARN、Hive、Spark、Flink、Trino、StarRocks等），同时参与大数据系统的平台化建设，并参与大数据系统的日常维护；2. 跟踪业界最新的大数据存储和计算技术，并结合公司的业务发展需求，对大数据系统进行持续迭代优化。任职要求：1. 具备扎实的计算机操作系统和网络基础知识，熟练掌握分布式系统的设计原理和实现方法，熟悉大数据生态的关键技术，掌握HDFS、HBase、YARN、Hive、Spark、Flink、Trino、StarRocks等一种或者多种基础服务组件的内部实现原理并熟悉源码；2. 熟练掌握Java编程语言，有用Java参与大型项目开发的实践经验，同时熟悉C/C++编程语言者更佳；3. 有较强的学习能力，有良好的团队合作精神，善于沟通和交流。,"技术栈:

1. 操作系统
2. 网络基础知识
3. 分布式系统
4. 大数据生态
5. HDFS
6. HBase
7. YARN
8. Hive
9. Spark
10. Flink
11. Trino
12. StarRocks
13. Java
14. C/C++"
岗位职责：1. 参与数据集成、数据处理、数据服务模块的设计、代码编写，公有云改造等。2. 参与数据中台的实施部署、技术支撑等任职资格：1. 熟练掌握数据结构与算法、计算机网络等基础知识，良好的编码习惯，有数据中台开发经验优先。2. Java基础扎实，熟悉Java Web开发，有Spring Boot开发经验，了解Spring的原理和机制，熟悉Mybatis框架；3. 至少了解一项或者多项组件，如Hadoop、Hive、Spark、Flink、Kafka、hudi、nifi、dolphinscheduler、linkis4. 熟练使用MySQL、Redis等数据库，熟悉Nginx等Web服务器；5. 具备自主的学习能力和良好的团队合作能力。,"技术栈：

1. 数据结构与算法
2. 计算机网络
3. Java
4. Spring Boot
5. Mybatis
6. Hadoop
7. Hive
8. Spark
9. Flink
10. Kafka
11. Hudi
12. Nifi
13. Dolphinscheduler
14. Linkis
15. MySQL
16. Redis
17. Nginx"
1.搭建基于Hadoop/HBASE/SPARK的大数据平台；2.管理Hadoop/SPARK集群运行，稳定提供平台服务；3.解决Hadoop/SPARK开发中技术难点。 4.解决实时计算相关问题，并根据业务场景设计实时计算流程架构并开发相关计算逻辑。任职资格: 1.3年以上Hadoop及大数据生态圈实践经验，如Kafka/HBase/Impala/YARN/Spark等，且对于spark streaming、storm等实时计算框架熟悉 2.深入了解分布式系统、大数据平台等高可用高弹性架构 3.有数据仓库项目经验，了解数据仓库相关理论知识；4.有ETL工具、Kettle的项目使用经验。 5.熟悉Linux系统，具备shell、python等脚本开发能力 6.强烈的责任心和自我驱动意识，具备独立解决问题的能力 7.良好的团队合作精神和沟通能力,"技术栈：

1. Hadoop
2. HBASE
3. SPARK
4. Kafka
5. Impala
6. YARN
7. ETL工具
8. Kettle
9. Linux
10. Shell
11. Python"
【岗位职责】1，参与大数据应用场景的需求分析，理解产品需求；2，参与数据引擎、数据入湖等特性的设计开发，保证高质量的代码输出；3，参与大数据应用场景的行业洞察和调研分析。【岗位要求】1，熟悉C/C++/JAVA/Scala中的一种或多种开发语言，一年以上项目开发经验；2，具备良好的沟通协作能力；3，具有大数据、数据湖、Spark、Flink等数据处理框架与技术实践开发经验者优先。,"技术栈: 

1. C
2. C++
3. JAVA
4. Scala
5. Spark
6. Flink"
"1、负责大数据平台的数据工具建设与优化，以提升平台的存储能力和计算能力，带领团队完成有质变的技术解决方案和技术特性2、组织同事研究行内最前沿的数据工具发展方向，突破现有大数据技术难题；3、负责合作协调其他团队共同协作，完成数据工具的全面建设；4、负责已有离线与实时技术，如hadoop, hive, presto, flink等开源软件其中之一的核心代码优化与开发，与社区进行深入的交流, 解决源码级的问题, 优化现有框架的性能瓶颈1、熟悉大数据技术生态圈相关的技术，对于大数据技术架构有独特见解;2、理解JVM 运行机制和内存管理, 有针对JVM GC优化经验;3、熟悉分布式系统的监控、运维、故障恢复，高可用原理和设计理念;4、有参与大规模分布式调度, 存储或计算其中之一的研发与设计;4、需要有对开源软件有二次开发经验, 对于架构优化有独到的见解;5、熟练的Linux系统, 网络, 内存和存储等方面只是","技术栈：

1. 大数据技术栈（Hadoop、Spark、Flink等）
2. 数据工具（ETL、数据挖掘、数据可视化等）
3. JVM相关技术（Java、Scala、Groovy等）
4. 分布式系统技术（分布式存储、分布式计算、分布式调度等）
5. 监控和运维技术（Nagios、Prometheus、Kibana等）
6. 高可用技术（Load Balancer、Clustering、Auto Scaling等）
7. 开源软件开发（二次开发和架构优化）
8. Linux系统管理（系统配置、网络管理、内存管理、存储管理等）"
你将会负责：1、负责大数据底层框架Hadoop / Hive / Spark / HBase的运维和开发；2、根据业务需要优化，增强现有平台的功能，开发新的Feature；3、为业务部门的数据分析同学提供业务支持和数据应用的解决方案。我们期望你：1、熟悉Hadoop的原理，对HDFS的源代码有一定了解；2、在Hadoop / Hive / Spark / HBase4个系统中，至少精通1个系统的原理，对其源代码有所研究（精通Spark原理和实现优先考虑）；3、良好的Java或Scala的能力，熟悉相关开发和调试工具；4、熟悉Linux系统，能够熟练使用shell/python脚本处理工具；5、对数据相关系统感兴趣，学习能力、沟通能力、项目管理能力较好；6、有Web管理系统开发经验（Angular JS2，Spring MVC，Hibernate / Mybatis）会是一个加分项。,"技术栈：

1. Hadoop
2. HDFS
3. Hive
4. Spark
5. HBase
6. Java
7. Scala
8. Linux
9. Shell
10. Python
11. Angular JS
12. Spring MVC
13. Hibernate
14. Mybatis"
